# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
0,0.95,69.54443480074406,0,512
0,0.9316326530612244,4980.580221557617,256,256
0,0.9132653061224489,9958.178503417968,256,256
0,0.8948979591836734,7155.715154266358,318,194
0,0.8765306122448979,4319.1033340454105,122,390
0,0.8581632653061224,9030.964010620117,148,364
0,0.8397959183673469,7930.580982971192,72,440
0,0.8214285714285714,14389.945251464844,156,356
0,0.8030612244897959,1447.8346885681153,212,300
0,0.7846938775510204,2442.4226470947265,320,192
0,0.7663265306122449,3003.568858337402,300,212
0,0.7479591836734694,2957.7613189697267,320,192
0,0.7295918367346939,4440.989483642578,320,192
0,0.7112244897959183,1239.2382217407226,256,256
0,0.6928571428571428,2262.4138580322265,265,247
0,0.6744897959183673,2357.051336669922,299,213
0,0.6561224489795918,1765.6064254760743,326,186
0,0.6377551020408163,3934.083673095703,354,158
0,0.6193877551020408,2065.07155456543,330,182
0,0.6010204081632653,1260.5554754257203,353,159
0,0.5826530612244898,1681.4704872131347,364,148
0,0.5642857142857143,690.4047958374024,360,152
0,0.5459183673469388,1036.7627227783203,352,160
0,0.5275510204081633,1093.134344482422,348,164
0,0.5091836734693878,621.0876178741455,324,188
0,0.49081632653061225,329.2262101173401,346,166
0,0.47244897959183674,869.7828338623046,368,144
0,0.45408163265306123,592.4819705009461,367,145
0,0.4357142857142857,332.5595905303955,346,166
0,0.4173469387755102,465.6328199386597,334,178
0,0.3989795918367347,240.43783874511718,338,174
0,0.3806122448979592,132.47837154865266,293,219
0,0.3622448979591837,720.181918334961,364,148
0,0.3438775510204082,260.3576532363892,360,152
0,0.32551020408163267,146.47575736045837,296,216
0,0.30714285714285716,206.73187789916992,328,184
0,0.28877551020408165,189.54853382110596,344,168
0,0.27040816326530615,849.3017677307129,353,159
0,0.25204081632653064,152.20242414474487,362,150
0,0.23367346938775513,162.64869990348816,359,153
0,0.21530612244897962,294.5834140777588,354,158
0,0.1969387755102041,89.5936469078064,348,164
0,0.1785714285714286,83.8062402009964,360,152
0,0.1602040816326531,334.1877286911011,358,154
0,0.1418367346938776,185.8712477684021,336,176
0,0.12346938775510208,98.76308786869049,342,170
0,0.10510204081632657,125.94991688728332,351,161
0,0.08673469387755106,55.11172007918358,342,170
0,0.06836734693877555,56.37910647392273,352,160
0,0.05,71.16417784690857,340,172
1,0.95,13.280305223166943,130,382
1,0.9316326530612244,2338.5267951965334,256,256
1,0.9132653061224489,5027.59143371582,128,384
1,0.8948979591836734,8706.974926757812,0,512
1,0.8765306122448979,5653.402372741699,106,406
1,0.8581632653061224,7657.3739013671875,40,472
1,0.8397959183673469,6548.75586013794,86,426
1,0.8214285714285714,3358.9402267456053,165,347
1,0.8030612244897959,1945.5010204315186,240,272
1,0.7846938775510204,3897.966032409668,218,294
1,0.7663265306122449,4714.810251617431,216,296
1,0.7479591836734694,3568.3554107666014,272,240
1,0.7295918367346939,2317.814562225342,330,182
1,0.7112244897959183,1565.1603164672852,329,183
1,0.6928571428571428,623.8186126708985,304,208
1,0.6744897959183673,721.7456009864807,292,220
1,0.6561224489795918,1559.8832113265992,355,157
1,0.6377551020408163,1046.7158134460449,273,239
1,0.6193877551020408,305.8672914505005,336,176
1,0.6010204081632653,857.4572429656982,368,144
1,0.5826530612244898,191.651611328125,368,144
1,0.5642857142857143,148.94704513549806,368,144
1,0.5459183673469388,177.27588787078858,364,148
1,0.5275510204081633,85.64663932323455,368,144
1,0.5091836734693878,74.58334336280822,356,156
1,0.49081632653061225,214.629341173172,364,148
1,0.47244897959183674,685.1045951843262,360,152
1,0.45408163265306123,169.0443091392517,354,158
1,0.4357142857142857,123.77513666152954,364,148
1,0.4173469387755102,107.76736011505128,350,162
1,0.3989795918367347,74.1334629535675,368,144
1,0.3806122448979592,112.99877071380615,346,166
1,0.3622448979591837,93.2947362422943,345,167
1,0.3438775510204082,183.12397344112395,368,144
1,0.32551020408163267,61.915612363815306,362,150
1,0.30714285714285716,139.27136859893798,368,144
1,0.28877551020408165,47.422254371643064,368,144
1,0.27040816326530615,96.30529434680939,368,144
1,0.25204081632653064,102.4733726978302,366,146
1,0.23367346938775513,72.88899788856506,348,164
1,0.21530612244897962,109.15351235866547,368,144
1,0.1969387755102041,131.8422655105591,368,144
1,0.1785714285714286,84.2583520412445,368,144
