# nruns = 10
# regions = False
# lr = 0.01
# rmsize = 1000
# steps = 50
# playouts = 100
# train_size = 100
# epochs = 20
# batch_size = 5
n,epsilon,loss,eval_reach,eval_crash
0,0.95,122.70829291343689,246,266
0,0.9316326530612244,5124.222790527344,256,256
0,0.9132653061224489,9667.112530517577,256,256
0,0.8948979591836734,6742.926251220703,132,380
0,0.8765306122448979,9238.727229309083,204,308
0,0.8581632653061224,3379.1928831100463,236,276
0,0.8397959183673469,3971.762518310547,92,420
0,0.8214285714285714,8822.297549438477,254,258
0,0.8030612244897959,11547.10058708191,148,364
0,0.7846938775510204,7814.599330711365,165,347
0,0.7663265306122449,2783.6967208862307,256,256
0,0.7479591836734694,2883.0091705322266,140,372
0,0.7295918367346939,4366.902075195312,196,316
0,0.7112244897959183,5602.169842529297,212,300
0,0.6928571428571428,5448.889385986328,200,312
0,0.6744897959183673,3932.565480041504,178,334
0,0.6561224489795918,3524.3692306518556,264,248
0,0.6377551020408163,2789.277503967285,280,232
0,0.6193877551020408,1446.5860610961913,322,190
0,0.6010204081632653,642.2260601043702,318,194
0,0.5826530612244898,324.2302700042725,276,236
0,0.5642857142857143,595.2676750183106,284,228
0,0.5459183673469388,986.0231767654419,286,226
0,0.5275510204081633,1462.497318649292,282,230
0,0.5091836734693878,676.9093690872193,318,194
0,0.49081632653061225,304.10878162384034,326,186
0,0.47244897959183674,511.8861439704895,311,201
0,0.45408163265306123,690.4578071594239,356,156
0,0.4357142857142857,471.79062814712523,320,192
0,0.4173469387755102,1127.8542198181153,358,154
0,0.3989795918367347,358.344454574585,339,173
0,0.3806122448979592,428.4078405380249,338,174
0,0.3622448979591837,337.9158857345581,315,197
0,0.3438775510204082,383.47897720336914,320,192
0,0.32551020408163267,973.1543817520142,336,176
0,0.30714285714285716,1030.9562726974486,336,176
0,0.28877551020408165,279.26150703430176,342,170
0,0.27040816326530615,253.53874187469484,327,185
0,0.25204081632653064,235.61306133270264,352,160
0,0.23367346938775513,223.00808868408203,368,144
0,0.21530612244897962,274.1100771903992,366,146
0,0.1969387755102041,284.7698396682739,368,144
0,0.1785714285714286,350.111692237854,361,151
0,0.1602040816326531,157.71381435394287,360,152
0,0.1418367346938776,92.8442325592041,300,212
0,0.12346938775510208,220.43199696540833,360,152
0,0.10510204081632657,323.5302888631821,352,160
0,0.08673469387755106,83.40690989494324,352,160
0,0.06836734693877555,180.30294184684755,358,154
0,0.05,96.36884152889252,366,146
1,0.95,527.6895772397518,302,210
1,0.9316326530612244,397.8750301361084,256,256
1,0.9132653061224489,3688.2211486816404,232,280
1,0.8948979591836734,4170.986232757568,265,247
1,0.8765306122448979,4338.869616699219,158,354
1,0.8581632653061224,16745.361514282227,335,177
1,0.8397959183673469,3292.3229797363283,163,349
1,0.8214285714285714,4554.153018188476,174,338
1,0.8030612244897959,4952.932965087891,275,237
1,0.7846938775510204,3065.5472846984862,172,340
1,0.7663265306122449,3548.8149856567384,238,274
1,0.7479591836734694,844.7334859848022,238,274
1,0.7295918367346939,1023.8576543807983,322,190
